,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
64,5.6,3.0,4.5,1.5,versicolor
65,5.8,2.7,4.1,1.0,versicolor
66,6.2,2.2,4.5,1.5,versicolor
67,5.6,2.5,3.9,1.1,versicolor
68,5.9,3.2,4.8,1.8,versicolor
69,6.1,2.8,4.0,1.3,versicolor
70,6.3,2.5,4.9,1.5,versicolor
71,6.1,2.8,4.7,1.2,versicolor
72,6.4,2.9,4.3,1.3,versicolor
73,6.6,3.0,4.4,1.4,versicolor
74,6.8,2.8,4.8,1.4,versicolor
75,6.7,3.0,5.0,1.7,versicolor
76,6.0,2.9,4.5,1.5,versicolor
77,5.7,2.6,3.5,1.0,versicolor
78,5.5,2.4,3.8,1.1,versicolor
79,5.5,2.4,3.7,1.0,versicolor
80,5.8,2.7,3.9,1.2,versicolor
81,6.0,2.7,5.1,1.6,versicolor
82,5.4,3.0,4.5,1.5,versicolor
83,6.0,3.4,4.5,1.6,versicolor
84,6.7,3.1,4.7,1.5,versicolor
85,6.3,2.3,4.4,1.3,versicolor
86,5.6,3.0,4.1,1.3,versicolor
87,5.5,2.5,4.0,1.3,versicolor
88,5.5,2.6,4.4,1.2,versicolor
89,6.1,3.0,4.6,1.4,versicolor
90,5.8,2.6,4.0,1.2,versicolor
91,5.0,2.3,3.3,1.0,versicolor
92,5.6,2.7,4.2,1.3,versicolor
93,5.7,3.0,4.2,1.2,versicolor
94,5.7,2.9,4.2,1.3,versicolor
95,6.2,2.9,4.3,1.3,versicolor
96,5.1,2.5,3.0,1.1,versicolor
97,5.7,2.8,4.1,1.3,versicolor
98,6.3,3.3,6.0,2.5,virginica
99,5.8,2.7,5.1,1.9,virginica
100,7.1,3.0,5.9,2.1,virginica
101,6.3,2.9,5.6,1.8,virginica
102,6.5,3.0,5.8,2.2,virginica
103,7.6,3.0,6.6,2.1,virginica
104,4.9,2.5,4.5,1.7,virginica
105,7.3,2.9,6.3,1.8,virginica
106,6.7,2.5,5.8,1.8,virginica
107,7.2,3.6,6.1,2.5,virginica
108,6.5,3.2,5.1,2.0,virginica
109,6.4,2.7,5.3,1.9,virginica
110,6.8,3.0,5.5,2.1,virginica
111,5.7,2.5,5.0,2.0,virginica
112,5.8,2.8,5.1,2.4,virginica
113,6.4,3.2,5.3,2.3,virginica
114,6.5,3.0,5.5,1.8,virginica
115,7.7,3.8,6.7,2.2,virginica
116,7.7,2.6,6.9,2.3,virginica
117,6.0,2.2,5.0,1.5,virginica
118,6.9,3.2,5.7,2.3,virginica
119,5.6,2.8,4.9,2.0,virginica
120,7.7,2.8,6.7,2.0,virginica
121,6.3,2.7,4.9,1.8,virginica
122,6.7,3.3,5.7,2.1,virginica
123,7.2,3.2,6.0,1.8,virginica
124,6.2,2.8,4.8,1.8,virginica
125,6.1,3.0,4.9,1.8,virginica
126,6.4,2.8,5.6,2.1,virginica
127,7.2,3.0,5.8,1.6,virginica
128,7.4,2.8,6.1,1.9,virginica
129,7.9,3.8,6.4,2.0,virginica
130,6.4,2.8,5.6,2.2,virginica
131,6.3,2.8,5.1,1.5,virginica
132,6.1,2.6,5.6,1.4,virginica
133,7.7,3.0,6.1,2.3,virginica
134,6.3,3.4,5.6,2.4,virginica
135,6.4,3.1,5.5,1.8,virginica
136,6.0,3.0,4.8,1.8,virginica
137,6.9,3.1,5.4,2.1,virginica
138,6.7,3.1,5.6,2.4,virginica
139,6.9,3.1,5.1,2.3,virginica
140,6.8,3.2,5.9,2.3,virginica
141,6.7,3.3,5.7,2.5,virginica
142,6.7,3.0,5.2,2.3,virginica
143,6.3,2.5,5.0,1.9,virginica
144,6.5,3.0,5.2,2.0,virginica
145,6.2,3.4,5.4,2.3,virginica
146,5.9,3.0,5.1,1.8,virginica
